;familyKey;family;rank
571;8580.0;erirhinidae;family
572;8581.0;eurhynchidae;family
573;8582.0;ithyceridae;family
574;8583.0;nanophyidae;family
575;8584.0;nemonychidae;family
576;8585.0;fulgoridae;family
577;8586.0;hypochthonellidae;family
578;8587.0;kinnaridae;family
579;8588.0;lophopidae;family
580;8589.0;pinguipedidae;family
581;8590.0;plesiopidae;family
582;8591.0;polycentridae;family
583;8592.0;polynemidae;family
584;8593.0;priacanthidae;family
585;8594.0;rachycentridae;family
586;8595.0;rhyacichthyidae;family
587;8596.0;scombridae;family
588;8597.0;serranidae;family
589;8598.0;stichaeidae;family
590;8599.0;toxotidae;family
591;8600.0;trichiuridae;family
592;8601.0;trichonotidae;family
593;8602.0;tripterygiidae;family
594;8603.0;uranoscopidae;family
595;8604.0;xiphiidae;family
596;8605.0;aphredoderidae;family
597;8606.0;percopsidae;family
598;8607.0;achiropsettidae;family
599;8608.0;bothidae;family
600;8609.0;citharidae;family
601;8610.0;cynoglossidae;family
602;8611.0;pleuronectidae;family
603;8612.0;soleidae;family
604;8613.0;eurypharyngidae;family
605;8614.0;saccopharyngidae;family
606;8615.0;salmonidae;family
607;8616.0;abyssocottidae;family
608;8617.0;agonidae;family
609;8618.0;apistidae;family
610;8619.0;caracanthidae;family
611;8620.0;comephoridae;family
612;8621.0;cottidae;family
613;8622.0;cottocomephoridae;family
614;8623.0;cyclopteridae;family
615;8624.0;dactylopteridae;family
616;8625.0;eschmeyeridae;family
617;8626.0;hexagrammidae;family
618;8627.0;liparidae;family
619;8628.0;normanichthyidae;family
620;8629.0;pataecidae;family
621;8630.0;peristediidae;family
622;8631.0;psychrolutidae;family
623;8632.0;rhamphocottidae;family
624;8633.0;sebastidae;family
625;8634.0;tetrarogidae;family
626;8635.0;triglidae;family
627;8636.0;amblycipitidae;family
628;8637.0;amphiliidae;family
629;8638.0;anchariidae;family
630;8639.0;astroblepidae;family
631;8640.0;auchenipteridae;family
632;8641.0;austroglanididae;family
633;8642.0;dicistroviridae;family
634;8643.0;cryptoplacidae;family
635;4948478.0;abyssochitonidae;family
636;8645.0;hanleyidae;family
637;8646.0;scytothamnaceae;family
638;8647.0;sphacelariaceae;family
639;8648.0;stypocaulaceae;family
640;8649.0;nematocarcinidae;family
641;8650.0;kermesidae;family
642;8651.0;margarodidae;family
643;8652.0;micrococcidae;family
644;8653.0;oplophoridae;family
645;8654.0;palaemonidae;family
646;8655.0;palicidae;family
647;8656.0;sporochnaceae;family
648;8657.0;syringodermataceae;family
649;8658.0;pandalidae;family
650;8659.0;stictococcidae;family
651;8660.0;parapaguridae;family
652;8661.0;acanthopteroctetidae;family
653;8662.0;acrolepiidae;family
654;8663.0;agathiphagidae;family
655;8664.0;tilopteridaceae;family
656;8665.0;chloramoebaceae;family
657;8666.0;chrysamoebaceae;family
658;8667.0;chrysothallaceae;family
659;8668.0;paraphysomonadaceae;family
660;8669.0;anomosetidae;family
661;8670.0;parastacidae;family
662;8671.0;pasiphaeidae;family
